chr_id,embryo_id,crossover_position,z_score
1,71400,0.646325,2.180098
1,71400,0.871565,2.106333
1,71703,0.148074,2.263277
1,71703,0.418061,2.092042
1,71703,0.644346,2.682465
1,71703,0.795296,2.144288
1,72024,0.644471,2.668532
1,74425,0.904328,2.136663
1,79990,0.860950,2.117641
1,79990,0.942049,1.967180
1,80293,0.894292,2.096299
1,80293,0.942814,1.992685
1,80505,0.086055,2.062566
1,80505,0.237748,2.063907
1,80505,0.350720,2.008525
1,80505,0.436859,2.199288
1,80505,0.447986,2.034585
1,80505,0.476003,2.237553
1,80505,0.666357,2.082558
1,80505,0.800798,1.975509
1,80505,0.871915,2.078605
1,80505,0.945422,2.014250
1,80614,0.018903,2.118988
1,80614,0.663615,2.291576
1,80614,0.895201,3.126042
1,80614,0.965274,2.233567
1,80725,0.169154,2.109051
1,80725,0.335669,2.622292
1,80725,0.750019,2.461659
1,80838,0.820472,2.125951
1,80838,0.860519,1.965907
1,80838,0.935532,2.089994
1,82391,0.235016,3.595575
1,82391,0.318163,1.965208
1,82391,0.610001,2.454198
1,82391,0.673064,1.962495
1,82391,0.816122,2.311072
1,82490,0.326277,1.981628
1,82490,0.478171,2.045868
1,82490,0.807445,2.748077
1,82490,0.984384,2.041993
1,82906,0.163980,1.991882
1,82906,0.338047,2.050550
1,83126,0.165897,1.963641
1,83126,0.345687,1.977948
1,83126,0.450324,2.219655
1,83126,0.940209,2.000192
1,83239,0.070267,2.232641
1,83239,0.732190,2.053129
1,83239,0.749000,2.156782
1,82393,0.046995,2.000348
1,82393,0.258016,2.280704
1,82393,0.726170,2.921359
1,82490,0.710205,2.075852
1,82490,0.860272,2.340822
1,82490,0.981678,2.083440
1,82589,0.224884,2.191578
1,82589,0.459504,2.154040
1,82690,0.473463,2.419415
1,82793,0.072662,2.538148
1,82793,0.181416,2.294130
1,82793,0.252854,2.031142
1,82793,0.446904,2.067300
1,121665,0.258203,2.072981
1,121665,0.313996,2.122463
1,121665,0.321086,4.417588
1,121665,0.729792,1.967720
1,121665,0.985419,1.989085
1,82712,0.480120,2.070439
1,82712,0.741591,2.012508
1,82712,0.853539,2.051243
1,82712,0.985128,1.974016
1,82811,0.794643,2.473981
1,82811,0.876605,1.989524
1,82912,0.060792,1.998716
1,82912,0.082020,2.305841
1,82912,0.263458,2.046270
1,82912,0.711789,2.098586
1,83227,0.035285,2.002786
1,83227,0.065169,1.992692
1,83227,0.245382,2.514676
1,83227,0.954201,2.325511
1,83336,0.058568,2.031380
1,83336,0.188892,2.693664
1,83336,0.261154,2.032600
1,83336,0.950351,1.977551
1,83447,0.255341,2.015733
1,83447,0.458308,2.472676
1,85016,0.137759,2.538446
1,85016,0.238238,2.203034
1,85016,0.721736,2.003765
1,85016,0.890180,2.115682
1,85113,0.059247,2.145292
1,85113,0.147355,2.046482
1,85113,0.255306,1.982651
1,85416,0.410088,2.616081
1,85416,0.732795,2.340666
1,85416,0.939257,2.830300
1,85628,0.134572,1.972350
1,85628,0.223925,2.228624
1,85628,0.721883,2.741673
1,85628,0.919689,2.034384
1,85737,0.051180,2.026472
1,85737,0.247881,2.356516
1,85412,0.266992,2.033165
1,85412,0.727153,1.962828
1,85412,0.811606,1.986354
1,85515,0.033316,2.027590
1,85515,0.253636,2.206512
1,85515,0.419047,2.048666
1,85515,0.704016,2.102006
1,85620,0.399208,2.007758
1,85620,0.681647,1.960340
1,85620,0.927493,2.050837
1,85836,0.091218,2.238701
1,85836,0.238031,2.148478
1,85836,0.437403,2.230472
1,85836,0.651899,1.986848
1,85836,0.767300,2.193637
1,85947,0.243424,2.138054
1,85947,0.447255,2.038661
1,85947,0.706658,2.079561
1,85947,0.941237,2.050514
1,85216,0.057977,2.061512
1,85216,0.137770,1.974273
1,85216,0.631591,2.065368
1,85313,0.154735,2.058254
1,85313,0.246257,2.079211
1,85313,0.268812,2.572603
1,85313,0.942584,1.970239
1,85412,0.062729,2.017514
1,85412,0.147463,2.025297
1,85412,0.243082,2.005482
1,85412,0.447837,2.160001
1,85412,0.638914,1.980476
1,85412,0.695952,2.094883
1,85412,0.860821,2.076616
1,85412,0.951921,2.186584
1,85513,0.351277,2.067357
1,85513,0.721804,1.990553
1,79433,0.161393,2.547667
1,79433,0.311480,1.969560
1,79433,0.730931,2.166198
1,79633,0.047958,2.227291
1,79633,0.822511,1.980228
1,79736,0.315175,1.988966
1,79736,0.820605,2.014064
1,75534,0.118239,2.062208
1,75534,0.195863,1.967401
1,75534,0.472216,1.989970
1,75633,0.099980,2.098855
1,75633,0.218655,2.341529
1,75633,0.592074,1.971621
1,75633,0.864090,2.412634
1,76120,0.139782,1.922518
1,76120,0.437806,1.978536
1,76120,0.753705,1.975057
1,76225,0.825742,1.963438
1,76332,0.246966,2.142333
1,76332,0.899409,2.099627
1,76441,0.051430,1.974518
1,76441,0.351623,1.978702
1,76552,0.077659,2.098154
1,76552,0.830220,1.967381
1,78218,0.455115,1.976066
1,78218,0.912625,2.042415
1,78317,0.717064,3.054224
1,78626,0.308576,2.026546
1,78626,0.717603,2.126458
1,78626,0.726761,2.667112
