chr_id,embryo_id,crossover_position,z_score
1,102759,0.075862,2.202762
1,102759,0.257098,2.137269
1,102759,0.466653,2.284170
1,102759,0.644737,3.030475
1,102759,0.898636,2.638836
1,102759,0.973208,2.631713
1,169630,0.120229,2.301236
1,169630,0.132480,2.176209
1,169630,0.183312,1.962595
1,169630,0.186405,4.226160
1,169630,0.335608,2.025712
1,169630,0.343983,3.659998
1,169630,0.387605,2.037882
1,169630,0.396522,3.223556
1,169630,0.447013,2.044968
1,169630,0.702841,1.981854
1,169630,0.818222,2.180633
1,169630,0.827180,2.414446
1,169630,0.950153,1.964765
1,95657,0.213489,1.964752
1,95657,0.403121,1.992601
1,108265,0.118402,1.969196
1,108265,0.855238,2.008207
1,166927,0.064998,1.974101
1,166927,0.136416,2.044126
1,166927,0.343701,2.064370
1,166927,0.467478,1.964046
1,166927,0.676089,2.126752
1,105387,0.167534,2.156876
1,105387,0.226681,2.658696
1,105387,0.271107,2.592082
1,105387,0.356865,2.938636
1,103229,0.036396,3.341127
1,103229,0.073390,2.196677
1,103229,0.402926,2.071530
1,103229,0.412165,3.183402
1,103229,0.464001,2.091820
1,103229,0.686088,1.977836
1,103229,0.718945,1.960556
1,103229,0.723886,2.114497
1,103229,0.815066,2.036770
1,103229,0.862886,2.133009
1,103229,0.904861,2.009868
1,103229,0.911429,3.970264
1,103229,0.984112,3.157538
1,267582,0.481023,2.197081
1,267582,0.651735,2.030841
1,104485,0.166494,1.963380
1,104485,0.706267,2.171163
1,104485,0.875413,2.081082
1,104485,0.892846,2.005090
1,104485,0.911624,2.200875
1,96309,0.269661,2.127056
1,96309,0.394764,1.552940
1,96309,0.432180,2.159677
1,96309,0.878744,2.175876
1,100162,0.073834,2.169702
1,100162,0.227897,1.983764
1,100162,0.303472,2.043211
1,100162,0.306746,3.228586
1,100162,0.637647,1.971376
1,100162,0.732503,2.560878
1,100162,0.975176,1.992911
1,106396,0.735714,2.054831
1,106396,0.754794,2.031925
1,106396,0.823641,1.975334
1,106396,0.873911,1.981754
1,106396,0.951696,1.984026
1,97692,0.031135,2.050483
1,97692,0.076384,1.987245
1,97692,0.105827,1.987245
1,97692,0.278187,2.002956
1,97692,0.604850,2.046389
1,97692,0.631220,2.112136
1,97692,0.752467,1.973024
1,97692,0.895805,1.990364
1,97656,0.046514,2.655963
1,97656,0.669896,2.580568
1,97656,0.739266,2.334561
1,97656,0.902246,2.240784
1,97656,0.919257,2.055040
1,97656,0.981396,2.171423
1,99687,0.211638,1.976838
1,99687,0.449792,3.039400
1,99687,0.653924,2.105310
1,100880,0.071588,2.005052
1,100880,0.146139,1.999442
1,100880,0.471578,2.008789
1,100880,0.633534,2.061426
1,100880,0.686575,2.024526
1,100880,0.705353,2.464807
1,98656,0.096910,1.968940
1,98656,0.328196,2.084567
1,98656,0.616378,1.966777
1,106049,0.097202,2.438138
1,106049,0.139237,1.999519
1,106049,0.166993,2.558514
1,106049,0.182197,2.701269
1,106049,0.201397,2.544561
1,106049,0.231041,2.020123
1,106049,0.304447,1.973074
1,106049,0.380344,2.322813
1,106049,0.466262,2.106866
1,106049,0.704517,1.985274
1,106049,0.911601,2.172965
1,107491,0.150346,2.019399
1,107491,0.179448,2.047618
1,107491,0.387014,2.085909
1,107491,0.404366,2.203226
1,107491,0.472190,2.082184
1,107491,0.659773,2.255227
1,107491,0.692429,1.961362
1,107491,0.708335,2.294612
1,107491,0.729825,1.992078
1,107491,0.832373,2.750553
1,95032,0.078341,1.979019
1,95032,0.372971,2.767046
1,95032,0.714677,2.860277
1,95032,0.871673,1.965163
1,95032,0.964761,2.103740
1,105033,0.065744,2.213023
1,105033,0.222779,2.026537
1,105033,0.475514,2.034706
1,105033,0.673280,2.191967
1,105033,0.905851,2.024876
1,105908,0.080560,2.610567
1,105908,0.314677,2.157112
1,105908,0.335404,2.001801
1,105908,0.448757,2.402758
1,105908,0.609628,3.104468
1,105908,0.825530,2.185733
1,105908,0.972302,2.830096
1,101731,0.073048,2.042611
1,101731,0.468318,2.086662
1,101731,0.715932,1.960232
1,101731,0.934162,2.146924
1,106324,0.021230,1.996680
1,106324,0.155913,2.013299
1,106324,0.368781,2.051169
1,106324,0.855091,2.009879
1,101243,0.242643,1.998318
1,101243,0.834293,2.010494
1,102988,0.738601,2.897447
1,102988,0.845848,2.458771
1,102385,0.053506,2.118196
1,102385,0.405676,2.070831
1,102385,0.606314,2.452616
1,102385,0.737943,2.073110
1,102385,0.829586,2.078825
1,102385,0.917031,2.443600
1,102385,0.929041,2.181630
1,102385,0.963947,2.289674
1,102012,0.094554,1.996620
1,102012,0.126427,1.996620
1,102012,0.338995,1.990681
1,102012,0.359802,2.180543
1,102012,0.973242,2.168542
1,101336,0.098731,2.199975
1,101336,0.172761,1.990893
1,101336,0.183907,5.068759
1,101336,0.480786,1.970512
1,101336,0.667064,2.349661
1,95106,0.262248,2.126979
1,95106,0.440653,2.000211
1,95106,0.470819,2.067397
1,95106,0.604657,1.832171
1,95106,0.673223,2.025815
1,95106,0.839718,1.977363
1,101596,0.806828,2.526108
1,101596,0.822835,1.976127
1,101596,0.850169,2.566498
1,101034,0.143923,2.057707
1,101034,0.255730,2.255436
1,101034,0.269969,2.049245
1,101034,0.446406,1.990429
1,101034,0.664014,2.169736
1,101034,0.812153,2.108153
1,101034,0.838924,2.086775
1,101034,0.899477,2.022985
1,101034,0.904619,2.616179
1,101034,0.935548,1.965494
1,101806,0.091849,3.165498
1,101806,0.162564,2.127916
1,101806,0.317471,2.023475
1,101806,0.368082,2.088605
1,101806,0.395175,1.975839
1,101806,0.445164,2.421106
1,101806,0.459403,2.103165
1,101806,0.591816,2.202346
1,101806,0.619431,2.075339
1,101806,0.734150,2.011471
1,101806,0.797274,2.269034
1,101806,0.817498,2.214918
1,101806,0.824708,2.175213
1,101362,0.181727,2.191609
1,101362,0.216893,2.057086
1,106988,0.166105,2.022097
1,106988,0.329608,2.164676
1,106988,0.478690,4.469169
1,106988,0.790813,2.061113
1,106988,0.919249,2.620179
1,102339,0.120901,1.979864
1,102339,0.222565,1.986488
1,102339,0.592028,1.975104
1,102339,0.693933,1.987639
1,102339,0.923050,2.002449
1,112288,0.134316,2.209556
1,112288,0.243411,2.011140
1,112288,0.267673,1.997271
1,112288,0.277915,3.060072
1,112288,0.388999,1.968551
1,112288,0.663284,2.390707
1,112288,0.723214,1.970329
1,112288,0.732915,4.140678
1,112288,0.765932,3.073422
1,112288,0.782562,3.210061
1,112288,0.806863,2.315657
1,112288,0.904049,3.711392
1,103728,0.605202,1.968792
1,103728,0.747958,5.465690
1,103728,0.853318,1.974865
1,103728,0.948054,2.025892
1,98992,0.021267,2.008682
1,98992,0.121325,2.102309
1,98992,0.173222,1.972347
1,98992,0.445097,2.061382
1,98992,0.631575,1.961887
1,98992,0.719080,1.978523
1,98992,0.732336,1.965918
1,98992,0.815945,2.029707
1,98992,0.891058,1.964451
1,98992,0.898228,2.565864
1,98992,0.938938,1.999943
1,110335,0.472892,2.281747
1,110335,0.608800,2.023843
1,110335,0.626855,1.963030
1,110335,0.640351,3.271606
1,110335,0.685942,2.014543
1,110335,0.841451,1.977607
1,107670,0.053498,1.975615
1,107670,0.064444,1.929249
1,107670,0.113649,2.422999
1,107670,0.150664,2.779513
1,107670,0.166691,2.178829
1,107670,0.247709,2.285725
1,107670,0.270725,2.462521
1,107670,0.299224,2.505602
1,107670,0.469776,2.046307
1,107670,0.472347,1.390431
1,107670,0.634564,2.124551
1,107670,0.653784,1.980604
1,104776,0.023561,2.325456
1,104776,0.478520,1.997157
1,104776,0.602076,1.961697
1,104776,0.684299,2.085362
1,102782,0.652387,2.202932
1,102782,0.697716,2.174511
1,102782,0.725331,2.070258
1,102782,0.784980,1.999966
1,109848,0.041935,2.023354
1,109848,0.146069,1.975996
1,109848,0.947856,1.978660
1,93803,0.051329,2.184677
1,93803,0.114593,2.115778
1,93803,0.166952,2.070414
1,93803,0.177054,2.645499
1,93803,0.195230,3.727306
1,93803,0.343067,3.539153
1,93803,0.431617,2.442383
1,93803,0.466984,3.401423
1,93803,0.479617,2.180984
1,93803,0.610604,2.021415
1,93803,0.697747,2.020267
1,93803,0.702005,3.254368
1,93803,0.791579,3.667705
1,93803,0.853478,2.103970
1,93803,0.910435,2.750066
1,98777,0.139630,2.316705
1,98777,0.150596,2.089455
1,98777,0.776749,2.070450
1,98777,0.940272,2.050704
1,105317,0.022142,2.465720
1,105317,0.043431,2.227585
1,105317,0.126718,1.979610
1,105317,0.449606,2.388852
1,105317,0.592222,2.317326
1,104038,0.049081,1.986369
1,104038,0.249316,1.998008
1,104038,0.281651,3.553424
1,104038,0.306696,2.525637
1,104038,0.347687,2.053015
1,104038,0.426938,2.028829
1,104038,0.449592,2.108336
1,104038,0.812708,2.075218
1,104038,0.900957,1.972774
1,104038,0.960003,2.038679
1,106236,0.247480,2.048165
1,106236,0.672594,2.053638
1,107331,0.107283,1.979256
1,107331,0.301132,1.969871
1,107331,0.832229,2.008875
1,110847,0.256857,1.982039
1,110847,0.399553,1.970493
1,110847,0.615474,2.047016
1,110847,0.738267,1.990971
1,110847,0.848326,1.975127
1,110847,0.950834,2.023216
1,104861,0.077417,2.184205
1,104861,0.166549,1.970378
1,104861,0.217240,2.523149
1,104861,0.771112,1.985166
1,104861,0.845985,2.019379
1,108914,0.609688,3.348118
1,108914,0.612681,0.944753
1,108914,0.635315,2.119745
1,108914,0.731898,2.100546
1,108914,0.779396,2.122827
1,108914,0.800826,2.065926
1,108914,0.927193,1.987664
1,171855,0.134941,2.035279
1,171855,0.265606,2.020474
1,171855,0.615105,2.009142
1,171855,0.695942,2.054500
1,171855,0.816807,2.059708
1,171855,0.941688,2.082725
1,98390,0.088154,1.967297
1,98390,0.219462,1.986903
1,98390,0.296203,2.192115
1,98390,0.423514,2.064409
1,98390,0.647067,1.983162
1,98390,0.686351,2.170634
1,98390,0.708483,2.335515
1,98390,0.736199,2.030008
1,98390,0.825251,2.099478
1,98390,0.905104,1.984217
1,98390,0.922417,2.038250
1,102051,0.054746,2.904063
1,102051,0.166091,2.019587
1,102051,0.215397,1.980686
1,102051,0.354618,2.005429
1,102051,0.740449,2.007153
1,102051,0.803994,2.034553
1,101371,0.479662,1.991029
1,101371,0.706047,1.983710
1,103006,0.023272,2.124982
1,103006,0.136545,2.271143
1,103006,0.212904,2.509780
1,103006,0.809514,2.041407
1,103006,0.950041,2.004847
1,104582,0.085442,2.015023
1,104582,0.441890,1.979162
1,104582,0.682033,2.232688
1,104582,0.696011,2.264056
1,104582,0.704085,1.365198
1,104582,0.831758,2.151034
1,104582,0.926794,2.159543
1,99711,0.096784,2.090241
1,99711,0.168061,3.533641
1,99711,0.181096,4.353249
1,99711,0.344337,1.989919
1,99711,0.702934,2.207540
1,99711,0.765716,0.767467
1,99711,0.769130,2.058568
1,99711,0.939321,1.972687
1,99711,0.942414,2.817837
1,99711,0.985534,2.035421
1,98735,0.096718,2.902148
1,98735,0.234514,1.962967
1,98735,0.303843,1.999080
1,98735,0.329972,2.021830
1,98735,0.442482,2.168015
1,98735,0.678085,1.975001
1,98735,0.842813,1.963973
1,98735,0.922285,2.411771
1,102155,0.201929,1.984116
